nim,nama,kelas,uts,uas,kehadiran
20260001,Budi Pratama,TI-3A,85,77,70
20260002,Sari Santoso,TI-3A,92,94,77
20260003,Andi Wibowo,TI-3A,59,52,93
20260004,Rina Lestari,TI-3A,51,41,88
20260005,Joko Saputra,TI-3A,72,59,70
20260006,Dewi Rahayu,TI-3A,50,48,77
20260007,Agus Hidayat,TI-3A,77,63,87
20260008,Lina Utami,TI-3A,57,68,77
20260009,Rizki Nugroho,TI-3A,73,75,95
20260010,Putri Sari,TI-3A,45,40,92
20260011,Bayu Pratama,TI-3A,72,78,78
20260012,Nanda Santoso,TI-3A,54,52,100
20260013,Fajar Wibowo,TI-3A,93,99,73
20260014,Intan Lestari,TI-3A,50,59,73
20260015,Doni Saputra,TI-3A,67,74,89
20260016,Maya Rahayu,TI-3A,61,48,93
20260017,Eko Hidayat,TI-3A,74,66,99
20260018,Tika Utami,TI-3A,69,59,87
20260019,Wawan Nugroho,TI-3A,63,71,88
20260020,Ayu Sari,TI-3A,57,46,71
20260021,Budi Pratama,TI-3B,87,86,94
20260022,Sari Santoso,TI-3B,63,53,97
20260023,Andi Wibowo,TI-3B,59,50,82
20260024,Rina Lestari,TI-3B,62,76,90
20260025,Joko Saputra,TI-3B,98,100,75
20260026,Dewi Rahayu,TI-3B,68,75,76
20260027,Agus Hidayat,TI-3B,87,89,92
20260028,Lina Utami,TI-3B,88,77,89
20260029,Rizki Nugroho,TI-3B,85,80,87
20260030,Putri Sari,TI-3B,91,91,75
20260031,Bayu Pratama,TI-3B,74,83,78
20260032,Nanda Santoso,TI-3B,85,84,91
20260033,Fajar Wibowo,TI-3B,65,53,77
20260034,Intan Lestari,TI-3B,97,84,95
20260035,Doni Saputra,TI-3B,65,75,78
20260036,Maya Rahayu,TI-3B,49,47,99
20260037,Eko Hidayat,TI-3B,81,86,76
20260038,Tika Utami,TI-3B,86,100,82
20260039,Wawan Nugroho,TI-3B,86,100,74
20260040,Ayu Sari,TI-3B,61,54,77
